PRESSURE,VOLUMEFACTOR,VISCOSITY,RS,PVTNUM,KEYWORD,OGR,OILDENSITY,WATERDENSITY,GASDENSITY,COMPRESSIBILITY,VISCOSIBILITY
1.0,1.15907572,0.64345,21.55203,1,PVTO,,,,,,
25.0,1.15319788,0.67619,21.55203,1,PVTO,,,,,,
50.0,1.14759314,0.70959,21.55203,1,PVTO,,,,,,
75.0,1.14244274,0.74231,21.55203,1,PVTO,,,,,,
100.0,1.13768608,0.77439,21.55203,1,PVTO,,,,,,
125.0,1.13327375,0.80585,21.55203,1,PVTO,,,,,,
150.0,1.1291649,0.83672,21.55203,1,PVTO,,,,,,
175.0,1.12532541,0.86702,21.55203,1,PVTO,,,,,,
200.0,1.12172647,0.89677,21.55203,1,PVTO,,,,,,
225.0,1.11834354,0.92599,21.55203,1,PVTO,,,,,,
250.0,1.11515557,0.9547,21.55203,1,PVTO,,,,,,
275.0,1.11214434,0.98292,21.55203,1,PVTO,,,,,,
300.0,1.10929399,1.01065,21.55203,1,PVTO,,,,,,
321.381,1.10697335,1.03399,21.55203,1,PVTO,,,,,,
350.0,1.10402206,1.06472,21.55203,1,PVTO,,,,,,
400.0,1.09924719,1.11702,21.55203,1,PVTO,,,,,,
450.0,1.09489632,1.16763,21.55203,1,PVTO,,,,,,
500.0,1.09091083,1.21664,21.55203,1,PVTO,,,,,,
25.0,1.17415042,0.63294,28.0457,1,PVTO,,,,,,
50.0,1.16792401,0.66638,28.0457,1,PVTO,,,,,,
75.0,1.16222385,0.69918,28.0457,1,PVTO,,,,,,
100.0,1.15697664,0.73137,28.0457,1,PVTO,,,,,,
125.0,1.1521232,0.76297,28.0457,1,PVTO,,,,,,
150.0,1.14761502,0.79402,28.0457,1,PVTO,,,,,,
175.0,1.14341188,0.82453,28.0457,1,PVTO,,,,,,
200.0,1.13948005,0.85452,28.0457,1,PVTO,,,,,,
225.0,1.13579096,0.88401,28.0457,1,PVTO,,,,,,
250.0,1.13232023,0.91301,28.0457,1,PVTO,,,,,,
275.0,1.12904686,0.94154,28.0457,1,PVTO,,,,,,
300.0,1.12595265,0.9696,28.0457,1,PVTO,,,,,,
321.381,1.12343646,0.99325,28.0457,1,PVTO,,,,,,
350.0,1.1202402,1.0244,28.0457,1,PVTO,,,,,,
400.0,1.11507756,1.07749,28.0457,1,PVTO,,,,,,
450.0,1.11038215,1.12896,28.0457,1,PVTO,,,,,,
500.0,1.10608804,1.17888,28.0457,1,PVTO,,,,,,
50.0,1.1920819,0.61538,35.62113,1,PVTO,,,,,,
75.0,1.18568689,0.6479,35.62113,1,PVTO,,,,,,
100.0,1.17982339,0.67985,35.62113,1,PVTO,,,,,,
125.0,1.17441865,0.71127,35.62113,1,PVTO,,,,,,
150.0,1.16941365,0.74217,35.62113,1,PVTO,,,,,,
175.0,1.16475991,0.77258,35.62113,1,PVTO,,,,,,
200.0,1.16041704,0.80251,35.62113,1,PVTO,,,,,,
225.0,1.15635113,0.83197,35.62113,1,PVTO,,,,,,
250.0,1.15253337,0.86098,35.62113,1,PVTO,,,,,,
275.0,1.14893911,0.88954,35.62113,1,PVTO,,,,,,
300.0,1.14554709,0.91768,35.62113,1,PVTO,,,,,,
321.381,1.14279255,0.94141,35.62113,1,PVTO,,,,,,
350.0,1.13929833,0.9727,35.62113,1,PVTO,,,,,,
400.0,1.13366532,1.02612,35.62113,1,PVTO,,,,,,
450.0,1.12855326,1.078,35.62113,1,PVTO,,,,,,
500.0,1.12388696,1.12841,35.62113,1,PVTO,,,,,,
75.0,1.21272381,0.59105,44.18399,1,PVTO,,,,,,
100.0,1.20610239,0.62238,44.18399,1,PVTO,,,,,,
125.0,1.20002384,0.65323,44.18399,1,PVTO,,,,,,
150.0,1.19441489,0.68361,44.18399,1,PVTO,,,,,,
175.0,1.18921591,0.71355,44.18399,1,PVTO,,,,,,
200.0,1.18437778,0.74306,44.18399,1,PVTO,,,,,,
225.0,1.17985948,0.77215,44.18399,1,PVTO,,,,,,
250.0,1.17562649,0.80082,44.18399,1,PVTO,,,,,,
275.0,1.17164941,0.8291,44.18399,1,PVTO,,,,,,
300.0,1.16790308,0.85699,44.18399,1,PVTO,,,,,,
321.381,1.16486563,0.88053,44.18399,1,PVTO,,,,,,
350.0,1.16101851,0.91162,44.18399,1,PVTO,,,,,,
400.0,1.15483017,0.96477,44.18399,1,PVTO,,,,,,
450.0,1.14922793,1.01651,44.18399,1,PVTO,,,,,,
500.0,1.14412509,1.06688,44.18399,1,PVTO,,,,,,
100.0,1.23664848,0.56012,53.9408,1,PVTO,,,,,,
125.0,1.22973185,0.58998,53.9408,1,PVTO,,,,,,
150.0,1.22337639,0.61944,53.9408,1,PVTO,,,,,,
175.0,1.21750719,0.64852,53.9408,1,PVTO,,,,,,
200.0,1.21206316,0.67722,53.9408,1,PVTO,,,,,,
225.0,1.20699379,0.70555,53.9408,1,PVTO,,,,,,
250.0,1.20225689,0.73353,53.9408,1,PVTO,,,,,,
275.0,1.19781684,0.76115,53.9408,1,PVTO,,,,,,
300.0,1.19364332,0.78843,53.9408,1,PVTO,,,,,,
321.381,1.19026564,0.8115,53.9408,1,PVTO,,,,,,
350.0,1.18599522,0.84198,53.9408,1,PVTO,,,,,,
400.0,1.1791431,0.89421,53.9408,1,PVTO,,,,,,
450.0,1.1729573,0.94517,53.9408,1,PVTO,,,,,,
500.0,1.16733649,0.99489,53.9408,1,PVTO,,,,,,
125.0,1.26461,0.52396,65.16,1,PVTO,,,,,,
150.0,1.2572,0.551,65.16,1,PVTO,,,,,,
175.0,1.25036,0.57775,65.16,1,PVTO,,,,,,
200.0,1.24403,0.60422,65.16,1,PVTO,,,,,,
225.0,1.23814,0.63041,65.16,1,PVTO,,,,,,
250.0,1.23264,0.65633,65.16,1,PVTO,,,,,,
275.0,1.22749,0.68198,65.16,1,PVTO,,,,,,
300.0,1.22266,0.70736,65.16,1,PVTO,,,,,,
321.381,1.21875096,0.72803,65.16,1,PVTO,,,,,,
350.0,1.21381,0.75732,65.16,1,PVTO,,,,,,
400.0,1.2059,0.80623,65.16,1,PVTO,,,,,,
450.0,1.19900993,0.85419,65.16,1,PVTO,,,,,,
500.0,1.19276639,0.90188,65.16,1,PVTO,,,,,,
150.0,1.29762,0.48131,78.197,1,PVTO,,,,,,
175.0,1.28975,0.50631,78.197,1,PVTO,,,,,,
200.0,1.28249,0.53108,78.197,1,PVTO,,,,,,
225.0,1.27576,0.55563,78.197,1,PVTO,,,,,,
250.0,1.2695,0.57996,78.197,1,PVTO,,,,,,
275.0,1.26366,0.60408,78.197,1,PVTO,,,,,,
300.0,1.25819,0.62798,78.197,1,PVTO,,,,,,
321.381,1.25377096,0.64735,78.197,1,PVTO,,,,,,
350.0,1.2482,0.67514,78.197,1,PVTO,,,,,,
400.0,1.23931,0.72144,78.197,1,PVTO,,,,,,
450.0,1.23155656,0.76704,78.197,1,PVTO,,,,,,
500.0,1.22455291,0.81263,78.197,1,PVTO,,,,,,
175.0,1.33097,0.444,91.613,1,PVTO,,,,,,
200.0,1.32267,0.46708,91.613,1,PVTO,,,,,,
225.0,1.315,0.49,91.613,1,PVTO,,,,,,
250.0,1.30789,0.51275,91.613,1,PVTO,,,,,,
275.0,1.30128,0.53533,91.613,1,PVTO,,,,,,
300.0,1.2951,0.55774,91.613,1,PVTO,,,,,,
321.381,1.29012907,0.5758,91.613,1,PVTO,,,,,,
350.0,1.28388,0.60206,91.613,1,PVTO,,,,,,
400.0,1.27391,0.64569,91.613,1,PVTO,,,,,,
450.0,1.26521729,0.68882,91.613,1,PVTO,,,,,,
500.0,1.25739051,0.73219,91.613,1,PVTO,,,,,,
200.0,1.36491,0.41105,105.478,1,PVTO,,,,,,
225.0,1.35619,0.43236,105.478,1,PVTO,,,,,,
250.0,1.34813,0.45355,105.478,1,PVTO,,,,,,
275.0,1.34066,0.47461,105.478,1,PVTO,,,,,,
300.0,1.3337,0.49555,105.478,1,PVTO,,,,,,
321.381,1.32810905,0.51231,105.478,1,PVTO,,,,,,
350.0,1.3211,0.53703,105.478,1,PVTO,,,,,,
400.0,1.30997,0.57799,105.478,1,PVTO,,,,,,
450.0,1.30025221,0.61861,105.478,1,PVTO,,,,,,
500.0,1.29153121,0.65968,105.478,1,PVTO,,,,,,
225.0,1.39965,0.38173,119.86,1,PVTO,,,,,,
250.0,1.39053,0.4014,119.86,1,PVTO,,,,,,
275.0,1.38209,0.42098,119.86,1,PVTO,,,,,,
300.0,1.37426,0.44047,119.86,1,PVTO,,,,,,
321.381,1.36798448,0.45597,119.86,1,PVTO,,,,,,
350.0,1.36014,0.47917,119.86,1,PVTO,,,,,,
400.0,1.34772,0.51748,119.86,1,PVTO,,,,,,
450.0,1.33688035,0.55557,119.86,1,PVTO,,,,,,
500.0,1.32718526,0.59431,119.86,1,PVTO,,,,,,
250.0,1.43539,0.35544,134.83,1,PVTO,,,,,,
275.0,1.42588,0.37358,134.83,1,PVTO,,,,,,
300.0,1.41708,0.39167,134.83,1,PVTO,,,,,,
321.381,1.41003746,0.40594,134.83,1,PVTO,,,,,,
350.0,1.40126,0.42766,134.83,1,PVTO,,,,,,
400.0,1.38742,0.46338,134.83,1,PVTO,,,,,,
450.0,1.3753493,0.49894,134.83,1,PVTO,,,,,,
500.0,1.36459027,0.53535,134.83,1,PVTO,,,,,,
275.0,1.47471,0.33169,151.087,1,PVTO,,,,,,
300.0,1.4648,0.34842,151.087,1,PVTO,,,,,,
321.381,1.4568922,0.36151,151.087,1,PVTO,,,,,,
350.0,1.44707,0.38179,151.087,1,PVTO,,,,,,
400.0,1.43163,0.41501,151.087,1,PVTO,,,,,,
450.0,1.41814939,0.44817,151.087,1,PVTO,,,,,,
500.0,1.40617772,0.48235,151.087,1,PVTO,,,,,,
300.0,1.51752,0.31006,168.667,1,PVTO,,,,,,
321.381,1.50862139,0.32202,168.667,1,PVTO,,,,,,
350.0,1.49761,0.34091,168.667,1,PVTO,,,,,,
400.0,1.48036,0.3717,168.667,1,PVTO,,,,,,
450.0,1.4652696,0.40256,168.667,1,PVTO,,,,,,
500.0,1.45192032,0.43459,168.667,1,PVTO,,,,,,
321.381,1.55579,0.29297,184.498,1,PVTO,,,,,,
350.0,1.54362,0.30945,184.498,1,PVTO,,,,,,
400.0,1.52464,0.33823,184.498,1,PVTO,,,,,,
450.0,1.50802483,0.36715,184.498,1,PVTO,,,,,,
500.0,1.49337692,0.39736,184.498,1,PVTO,,,,,,
350.0,1.59726788,0.28733,202.9592,1,PVTO,,,,,,
400.0,1.57594539,0.31699,202.9592,1,PVTO,,,,,,
450.0,1.55746313,0.34681,202.9592,1,PVTO,,,,,,
500.0,1.5412325,0.37675,202.9592,1,PVTO,,,,,,
400.0,1.67341862,0.27583,237.40906,1,PVTO,,,,,,
450.0,1.6512006,0.30374,237.40906,1,PVTO,,,,,,
500.0,1.63182497,0.33194,237.40906,1,PVTO,,,,,,
450.0,1.75474458,0.26305,274.83102,1,PVTO,,,,,,
500.0,1.73168104,0.28893,274.83102,1,PVTO,,,,,,
499.9,1.84152712,0.24982,315.41539,1,PVTO,,,,,,
500.0,1.84147617,0.24986,315.41539,1,PVTO,,,,,,
1.0,1.07033,0.645,0.0,2,PVTO,,,,,,
25.0,1.06657,0.668,0.0,2,PVTO,,,,,,
50.0,1.06293,0.691,0.0,2,PVTO,,,,,,
75.0,1.05954,0.714,0.0,2,PVTO,,,,,,
100.0,1.05636,0.736,0.0,2,PVTO,,,,,,
150.0,1.05058,0.778,0.0,2,PVTO,,,,,,
200.0,1.04545,0.819,0.0,2,PVTO,,,,,,
225.0,1.04309,0.838,0.0,2,PVTO,,,,,,
250.0,1.04085,0.857,0.0,2,PVTO,,,,,,
275.0,1.03872,0.876,0.0,2,PVTO,,,,,,
294.6,1.03712,0.891,0.0,2,PVTO,,,,,,
300.0,1.03669,0.895,0.0,2,PVTO,,,,,,
324.0,1.03484,0.912,0.0,2,PVTO,,,,,,
350.0,1.03292,0.93,0.0,2,PVTO,,,,,,
400.0,1.02947,0.964,0.0,2,PVTO,,,,,,
450.0,1.02631,0.997,0.0,2,PVTO,,,,,,
500.0,1.02339,1.029,0.0,2,PVTO,,,,,,
25.0,1.14075,0.484,17.345,2,PVTO,,,,,,
50.0,1.1351,0.506,17.345,2,PVTO,,,,,,
