REAL,ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,SOURCE,ENSEMBLE
33,UpperReek,1,281037151.51,46306558.68,34803000.78,21888679.37,geogrid,iter-0
33,UpperReek,2,0,0,0,0,geogrid,iter-0
33,MidReek,1,217141855.78,35810900.28,25442732.79,16001718.47,geogrid,iter-0
33,MidReek,2,0,0,0,0,geogrid,iter-0
33,LowerReek,1,127877366.67,22582161.96,17166951.54,10796824.69,geogrid,iter-0
33,LowerReek,2,0,0,0,0,geogrid,iter-0
14,UpperReek,1,241382049.26,33434511.94,20899277.4,13144199.41,geogrid,iter-0
14,UpperReek,2,0,0,0,0,geogrid,iter-0
14,MidReek,1,175847540.38,26490389.19,17101202.48,10755473.08,geogrid,iter-0
14,MidReek,2,0,0,0,0,geogrid,iter-0
14,LowerReek,1,97800116.59,15090695.92,10420235.58,6553607.17,geogrid,iter-0
14,LowerReek,2,0,0,0,0,geogrid,iter-0
5,UpperReek,1,298474336.62,47507140.29,35341648.03,22227451.22,geogrid,iter-0
5,UpperReek,2,0,0,0,0,geogrid,iter-0
5,MidReek,1,228563029.44,43195030.7,34349065.01,21603185.19,geogrid,iter-0
5,MidReek,2,0,0,0,0,geogrid,iter-0
5,LowerReek,1,136393914.74,28295580.38,23308289.29,14659301.19,geogrid,iter-0
5,LowerReek,2,0,0,0,0,geogrid,iter-0
31,UpperReek,1,281037151.51,49252308.97,38415633.45,24160775.35,geogrid,iter-0
31,UpperReek,2,0,0,0,0,geogrid,iter-0
31,MidReek,1,217141855.78,41965667.88,33726439.68,21211596.93,geogrid,iter-0
31,MidReek,2,0,0,0,0,geogrid,iter-0
31,LowerReek,1,127877366.67,26770077.57,21651609.62,13617364.31,geogrid,iter-0
31,LowerReek,2,0,0,0,0,geogrid,iter-0
27,UpperReek,1,281037151.51,41269463.64,30365419.3,19097747.67,geogrid,iter-0
27,UpperReek,2,0,0,0,0,geogrid,iter-0
27,MidReek,1,217141855.78,36045540.81,27735135.19,17443480.96,geogrid,iter-0
27,MidReek,2,0,0,0,0,geogrid,iter-0
27,LowerReek,1,127877366.67,24547985.36,19403558.87,12203495.94,geogrid,iter-0
27,LowerReek,2,0,0,0,0,geogrid,iter-0
12,UpperReek,1,241382049.26,34884099.32,24347907.07,15313148.84,geogrid,iter-0
12,UpperReek,2,0,0,0,0,geogrid,iter-0
12,MidReek,1,175847540.38,29715501.04,22080464.3,13887084.24,geogrid,iter-0
12,MidReek,2,0,0,0,0,geogrid,iter-0
12,LowerReek,1,97800116.59,18717756.97,14616184.93,9192568.98,geogrid,iter-0
12,LowerReek,2,0,0,0,0,geogrid,iter-0
28,UpperReek,1,281037151.51,46306558.68,34803000.78,21888679.37,geogrid,iter-0
28,UpperReek,2,0,0,0,0,geogrid,iter-0
28,MidReek,1,217141855.78,35810900.28,25442732.79,16001718.47,geogrid,iter-0
28,MidReek,2,0,0,0,0,geogrid,iter-0
28,LowerReek,1,127877366.67,22582161.96,17166951.54,10796824.69,geogrid,iter-0
28,LowerReek,2,0,0,0,0,geogrid,iter-0
1,UpperReek,1,281037151.51,49252308.97,38415633.45,24160775.35,geogrid,iter-0
1,UpperReek,2,0,0,0,0,geogrid,iter-0
1,MidReek,1,217141855.78,41965667.88,33726439.68,21211596.93,geogrid,iter-0
1,MidReek,2,0,0,0,0,geogrid,iter-0
1,LowerReek,1,127877366.67,26770077.57,21651609.62,13617364.31,geogrid,iter-0
1,LowerReek,2,0,0,0,0,geogrid,iter-0
26,UpperReek,1,281037151.51,49252308.97,38415633.45,24160775.35,geogrid,iter-0
26,UpperReek,2,0,0,0,0,geogrid,iter-0
26,MidReek,1,217141855.78,41965667.88,33726439.68,21211596.93,geogrid,iter-0
26,MidReek,2,0,0,0,0,geogrid,iter-0
26,LowerReek,1,127877366.67,26770077.57,21651609.62,13617364.31,geogrid,iter-0
26,LowerReek,2,0,0,0,0,geogrid,iter-0
29,UpperReek,1,281037151.51,37994681.84,25015087.69,15732759.29,geogrid,iter-0
29,UpperReek,2,0,0,0,0,geogrid,iter-0
29,MidReek,1,217141855.78,32253665.84,21819982.6,13723259.27,geogrid,iter-0
29,MidReek,2,0,0,0,0,geogrid,iter-0
29,LowerReek,1,127877366.67,20111248.44,14236261.02,8953623.14,geogrid,iter-0
29,LowerReek,2,0,0,0,0,geogrid,iter-0
21,UpperReek,1,281037151.51,49252308.97,38415633.45,24160775.35,geogrid,iter-0
21,UpperReek,2,0,0,0,0,geogrid,iter-0
21,MidReek,1,217141855.78,41965667.88,33726439.68,21211596.93,geogrid,iter-0
21,MidReek,2,0,0,0,0,geogrid,iter-0
21,LowerReek,1,127877366.67,26770077.57,21651609.62,13617364.31,geogrid,iter-0
21,LowerReek,2,0,0,0,0,geogrid,iter-0
11,UpperReek,1,241382049.26,42461055.43,32165088.76,20229615.23,geogrid,iter-0
11,UpperReek,2,0,0,0,0,geogrid,iter-0
11,MidReek,1,175847540.38,33573311.71,25784905.86,16216921.65,geogrid,iter-0
11,MidReek,2,0,0,0,0,geogrid,iter-0
11,LowerReek,1,97800116.59,20735359.42,16736702.94,10526228.09,geogrid,iter-0
11,LowerReek,2,0,0,0,0,geogrid,iter-0
2,UpperReek,1,281037151.51,41269463.64,30365419.3,19097747.67,geogrid,iter-0
2,UpperReek,2,0,0,0,0,geogrid,iter-0
2,MidReek,1,217141855.78,36045540.81,27735135.19,17443480.96,geogrid,iter-0
2,MidReek,2,0,0,0,0,geogrid,iter-0
2,LowerReek,1,127877366.67,24547985.36,19403558.87,12203495.94,geogrid,iter-0
2,LowerReek,2,0,0,0,0,geogrid,iter-0
13,UpperReek,1,241382049.26,40343170.64,29320705.62,18440695.05,geogrid,iter-0
13,UpperReek,2,0,0,0,0,geogrid,iter-0
13,MidReek,1,175847540.38,29544056.6,20323659.36,12782175.49,geogrid,iter-0
13,MidReek,2,0,0,0,0,geogrid,iter-0
13,LowerReek,1,97800116.59,18038005.83,13882552.04,8731164.66,geogrid,iter-0
13,LowerReek,2,0,0,0,0,geogrid,iter-0
9,UpperReek,1,298474336.62,39947577.13,26470536.79,16648136.07,geogrid,iter-0
9,UpperReek,2,0,0,0,0,geogrid,iter-0
9,MidReek,1,228563029.44,34087203.35,23489592.03,14773328.07,geogrid,iter-0
9,MidReek,2,0,0,0,0,geogrid,iter-0
9,LowerReek,1,136393914.74,21363869.48,15546637.27,9777759.12,geogrid,iter-0
9,LowerReek,2,0,0,0,0,geogrid,iter-0
19,UpperReek,1,281037151.51,37994681.84,25015087.69,15732759.29,geogrid,iter-0
19,UpperReek,2,0,0,0,0,geogrid,iter-0
19,MidReek,1,217141855.78,32253665.84,21819982.6,13723259.27,geogrid,iter-0
19,MidReek,2,0,0,0,0,geogrid,iter-0
19,LowerReek,1,127877366.67,20111248.44,14236261.02,8953623.14,geogrid,iter-0
19,LowerReek,2,0,0,0,0,geogrid,iter-0
7,UpperReek,1,298474336.62,43693208.82,32160724.83,20226870.63,geogrid,iter-0
7,UpperReek,2,0,0,0,0,geogrid,iter-0
7,MidReek,1,228563029.44,37854290.76,29443575.14,18517971.48,geogrid,iter-0
7,MidReek,2,0,0,0,0,geogrid,iter-0
7,LowerReek,1,136393914.74,26092315.74,21095300.43,13267484.33,geogrid,iter-0
7,LowerReek,2,0,0,0,0,geogrid,iter-0
10,UpperReek,1,241382049.26,39098935.18,28531532.06,17944359.48,geogrid,iter-0
10,UpperReek,2,0,0,0,0,geogrid,iter-0
10,MidReek,1,175847540.38,33566327.61,25452322.55,16007749.77,geogrid,iter-0
10,MidReek,2,0,0,0,0,geogrid,iter-0
10,LowerReek,1,97800116.59,20652511.6,16672734.04,10485996.07,geogrid,iter-0
10,LowerReek,2,0,0,0,0,geogrid,iter-0
4,UpperReek,1,281037151.51,37994681.84,25015087.69,15732759.29,geogrid,iter-0
4,UpperReek,2,0,0,0,0,geogrid,iter-0
4,MidReek,1,217141855.78,32253665.84,21819982.6,13723259.27,geogrid,iter-0
4,MidReek,2,0,0,0,0,geogrid,iter-0
4,LowerReek,1,127877366.67,20111248.44,14236261.02,8953623.14,geogrid,iter-0
4,LowerReek,2,0,0,0,0,geogrid,iter-0
6,UpperReek,1,298474336.62,52169675.2,40633313.3,25555542.52,geogrid,iter-0
6,UpperReek,2,0,0,0,0,geogrid,iter-0
6,MidReek,1,228563029.44,44119055.04,35805015.37,22518877.21,geogrid,iter-0
6,MidReek,2,0,0,0,0,geogrid,iter-0
6,LowerReek,1,136393914.74,28449689.99,23370623.89,14698505.35,geogrid,iter-0
6,LowerReek,2,0,0,0,0,geogrid,iter-0
37,UpperReek,1,282180248.07,40126239.64,28836024.58,18135864.21,geogrid,iter-0
37,UpperReek,2,0,0,0,0,geogrid,iter-0
37,MidReek,1,234322028.23,39327397.13,29685551.45,18670157.83,geogrid,iter-0
37,MidReek,2,0,0,0,0,geogrid,iter-0
37,LowerReek,1,128113313.18,23814305.88,18657421.07,11734226.89,geogrid,iter-0
37,LowerReek,2,0,0,0,0,geogrid,iter-0
15,UpperReek,1,281037151.51,44961694.37,33491160.72,21063622.74,geogrid,iter-0
15,UpperReek,2,0,0,0,0,geogrid,iter-0
15,MidReek,1,217141855.78,41212256.52,32363641.43,20354491.13,geogrid,iter-0
15,MidReek,2,0,0,0,0,geogrid,iter-0
15,LowerReek,1,127877366.67,26691808.51,21724513.02,13663215.51,geogrid,iter-0
15,LowerReek,2,0,0,0,0,geogrid,iter-0
25,UpperReek,1,281037151.51,44961694.37,33491160.72,21063622.74,geogrid,iter-0
25,UpperReek,2,0,0,0,0,geogrid,iter-0
25,MidReek,1,217141855.78,41212256.52,32363641.43,20354491.13,geogrid,iter-0
25,MidReek,2,0,0,0,0,geogrid,iter-0
25,LowerReek,1,127877366.67,26691808.51,21724513.02,13663215.51,geogrid,iter-0
25,LowerReek,2,0,0,0,0,geogrid,iter-0
30,UpperReek,1,281037151.51,44961694.37,33491160.72,21063622.74,geogrid,iter-0
30,UpperReek,2,0,0,0,0,geogrid,iter-0
30,MidReek,1,217141855.78,41212256.52,32363641.43,20354491.13,geogrid,iter-0
30,MidReek,2,0,0,0,0,geogrid,iter-0
30,LowerReek,1,127877366.67,26691808.51,21724513.02,13663215.51,geogrid,iter-0
30,LowerReek,2,0,0,0,0,geogrid,iter-0
0,UpperReek,1,281037151.51,44961694.37,33491160.72,21063622.74,geogrid,iter-0
0,UpperReek,2,0,0,0,0,geogrid,iter-0
0,MidReek,1,217141855.78,41212256.52,32363641.43,20354491.13,geogrid,iter-0
