REAL,ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,SOURCE,ENSEMBLE
0,MidReek,2,0,0,0,0,geogrid,iter-0
0,LowerReek,1,127877366.67,26691808.51,21724513.02,13663215.51,geogrid,iter-0
0,LowerReek,2,0,0,0,0,geogrid,iter-0
17,UpperReek,1,281037151.51,41269463.64,30365419.3,19097747.67,geogrid,iter-0
17,UpperReek,2,0,0,0,0,geogrid,iter-0
17,MidReek,1,217141855.78,36045540.81,27735135.19,17443480.96,geogrid,iter-0
17,MidReek,2,0,0,0,0,geogrid,iter-0
17,LowerReek,1,127877366.67,24547985.36,19403558.87,12203495.94,geogrid,iter-0
17,LowerReek,2,0,0,0,0,geogrid,iter-0
22,UpperReek,1,281037151.51,41269463.64,30365419.3,19097747.67,geogrid,iter-0
22,UpperReek,2,0,0,0,0,geogrid,iter-0
22,MidReek,1,217141855.78,36045540.81,27735135.19,17443480.96,geogrid,iter-0
22,MidReek,2,0,0,0,0,geogrid,iter-0
22,LowerReek,1,127877366.67,24547985.36,19403558.87,12203495.94,geogrid,iter-0
22,LowerReek,2,0,0,0,0,geogrid,iter-0
38,UpperReek,1,282072599.53,45923267.73,34958598.17,21986539.36,geogrid,iter-0
38,UpperReek,2,0,0,0,0,geogrid,iter-0
38,MidReek,1,223195437.45,37936139.67,27642372.38,17385139.57,geogrid,iter-0
38,MidReek,2,0,0,0,0,geogrid,iter-0
38,LowerReek,1,135309446.93,24647816.07,18984434.32,11939895.6,geogrid,iter-0
38,LowerReek,2,0,0,0,0,geogrid,iter-0
20,UpperReek,1,281037151.51,44961694.37,33491160.72,21063622.74,geogrid,iter-0
20,UpperReek,2,0,0,0,0,geogrid,iter-0
20,MidReek,1,217141855.78,41212256.52,32363641.43,20354491.13,geogrid,iter-0
20,MidReek,2,0,0,0,0,geogrid,iter-0
20,LowerReek,1,127877366.67,26691808.51,21724513.02,13663215.51,geogrid,iter-0
20,LowerReek,2,0,0,0,0,geogrid,iter-0
34,UpperReek,1,281037151.51,37994681.84,25015087.69,15732759.29,geogrid,iter-0
34,UpperReek,2,0,0,0,0,geogrid,iter-0
34,MidReek,1,217141855.78,32253665.84,21819982.6,13723259.27,geogrid,iter-0
34,MidReek,2,0,0,0,0,geogrid,iter-0
34,LowerReek,1,127877366.67,20111248.44,14236261.02,8953623.14,geogrid,iter-0
34,LowerReek,2,0,0,0,0,geogrid,iter-0
16,UpperReek,1,281037151.51,49252308.97,38415633.45,24160775.35,geogrid,iter-0
16,UpperReek,2,0,0,0,0,geogrid,iter-0
16,MidReek,1,217141855.78,41965667.88,33726439.68,21211596.93,geogrid,iter-0
16,MidReek,2,0,0,0,0,geogrid,iter-0
16,LowerReek,1,127877366.67,26770077.57,21651609.62,13617364.31,geogrid,iter-0
16,LowerReek,2,0,0,0,0,geogrid,iter-0
18,UpperReek,1,281037151.51,46306558.68,34803000.78,21888679.37,geogrid,iter-0
18,UpperReek,2,0,0,0,0,geogrid,iter-0
18,MidReek,1,217141855.78,35810900.28,25442732.79,16001718.47,geogrid,iter-0
18,MidReek,2,0,0,0,0,geogrid,iter-0
18,LowerReek,1,127877366.67,22582161.96,17166951.54,10796824.69,geogrid,iter-0
18,LowerReek,2,0,0,0,0,geogrid,iter-0
36,UpperReek,1,281109964.97,48910139.98,37758455.78,23747456.07,geogrid,iter-0
36,UpperReek,2,0,0,0,0,geogrid,iter-0
36,MidReek,1,218452893.52,42128382.92,34030321.39,21402717.5,geogrid,iter-0
36,MidReek,2,0,0,0,0,geogrid,iter-0
36,LowerReek,1,136474127.12,28232840.68,22823724.69,14354543.59,geogrid,iter-0
36,LowerReek,2,0,0,0,0,geogrid,iter-0
24,UpperReek,1,281037151.51,37994681.84,25015087.69,15732759.29,geogrid,iter-0
24,UpperReek,2,0,0,0,0,geogrid,iter-0
24,MidReek,1,217141855.78,32253665.84,21819982.6,13723259.27,geogrid,iter-0
24,MidReek,2,0,0,0,0,geogrid,iter-0
24,LowerReek,1,127877366.67,20111248.44,14236261.02,8953623.14,geogrid,iter-0
24,LowerReek,2,0,0,0,0,geogrid,iter-0
32,UpperReek,1,281037151.51,41269463.64,30365419.3,19097747.67,geogrid,iter-0
32,UpperReek,2,0,0,0,0,geogrid,iter-0
32,MidReek,1,217141855.78,36045540.81,27735135.19,17443480.96,geogrid,iter-0
32,MidReek,2,0,0,0,0,geogrid,iter-0
32,LowerReek,1,127877366.67,24547985.36,19403558.87,12203495.94,geogrid,iter-0
32,LowerReek,2,0,0,0,0,geogrid,iter-0
8,UpperReek,1,298474336.62,48513498.12,36453526.07,22926745.57,geogrid,iter-0
8,UpperReek,2,0,0,0,0,geogrid,iter-0
8,MidReek,1,228563029.44,37595133.72,27257061.49,17142805.68,geogrid,iter-0
8,MidReek,2,0,0,0,0,geogrid,iter-0
8,LowerReek,1,136393914.74,23996916.15,18373006.25,11555349.66,geogrid,iter-0
8,LowerReek,2,0,0,0,0,geogrid,iter-0
3,UpperReek,1,281037151.51,46306558.68,34803000.78,21888679.37,geogrid,iter-0
3,UpperReek,2,0,0,0,0,geogrid,iter-0
3,MidReek,1,217141855.78,35810900.28,25442732.79,16001718.47,geogrid,iter-0
3,MidReek,2,0,0,0,0,geogrid,iter-0
3,LowerReek,1,127877366.67,22582161.96,17166951.54,10796824.69,geogrid,iter-0
3,LowerReek,2,0,0,0,0,geogrid,iter-0
35,UpperReek,1,261661547.04,41418874.51,30133644.43,18951977.31,geogrid,iter-0
35,UpperReek,2,0,0,0,0,geogrid,iter-0
35,MidReek,1,225113901.6,43179913.16,34034173.76,21405140.37,geogrid,iter-0
35,MidReek,2,0,0,0,0,geogrid,iter-0
35,LowerReek,1,132848765.2,28074860.07,23266228.69,14632847.99,geogrid,iter-0
35,LowerReek,2,0,0,0,0,geogrid,iter-0
23,UpperReek,1,281037151.51,46306558.68,34803000.78,21888679.37,geogrid,iter-0
23,UpperReek,2,0,0,0,0,geogrid,iter-0
23,MidReek,1,217141855.78,35810900.28,25442732.79,16001718.47,geogrid,iter-0
23,MidReek,2,0,0,0,0,geogrid,iter-0
23,LowerReek,1,127877366.67,22582161.96,17166951.54,10796824.69,geogrid,iter-0
23,LowerReek,2,0,0,0,0,geogrid,iter-0
39,UpperReek,1,262030959.32,36421870.7,24257268.2,15256143.27,geogrid,iter-0
39,UpperReek,2,0,0,0,0,geogrid,iter-0
39,MidReek,1,234189308.16,34038188.73,22269531.59,14005994.48,geogrid,iter-0
39,MidReek,2,0,0,0,0,geogrid,iter-0
39,LowerReek,1,117867598.99,19047489.94,14180500.26,8918553.47,geogrid,iter-0
39,LowerReek,2,0,0,0,0,geogrid,iter-0
33,UpperReek,1,281010673.49,46263774.34,34675870.55,21808723.23,simgrid,iter-0
33,UpperReek,2,0,0,0,0,simgrid,iter-0
33,MidReek,1,217141274.51,35798390.18,25299682.06,15911749.49,simgrid,iter-0
33,MidReek,2,0,0,0,0,simgrid,iter-0
33,LowerReek,1,127906626.86,22602707.84,17063643.59,10731851.13,simgrid,iter-0
33,LowerReek,2,0,0,0,0,simgrid,iter-0
14,UpperReek,1,241341940.98,33418874.81,20858793.85,13118738.05,simgrid,iter-0
14,UpperReek,2,0,0,0,0,simgrid,iter-0
14,MidReek,1,175870731.95,26510094.23,16969626.92,10672721.17,simgrid,iter-0
14,MidReek,2,0,0,0,0,simgrid,iter-0
14,LowerReek,1,97811697.25,15112486.15,10296610.53,6475855.57,simgrid,iter-0
14,LowerReek,2,0,0,0,0,simgrid,iter-0
5,UpperReek,1,298484642.31,47507324.11,35214803.61,22147674.84,simgrid,iter-0
5,UpperReek,2,0,0,0,0,simgrid,iter-0
5,MidReek,1,228590822.64,43197363.5,34142219.99,21473093.97,simgrid,iter-0
5,MidReek,2,0,0,0,0,simgrid,iter-0
5,LowerReek,1,136423880.56,28307273.75,23177578.04,14577092.86,simgrid,iter-0
5,LowerReek,2,0,0,0,0,simgrid,iter-0
31,UpperReek,1,281010673.49,49265968.2,38214565.81,24034317.72,simgrid,iter-0
31,UpperReek,2,0,0,0,0,simgrid,iter-0
31,MidReek,1,217141274.51,41936685.94,33485012.04,21059755.67,simgrid,iter-0
31,MidReek,2,0,0,0,0,simgrid,iter-0
31,LowerReek,1,127906626.86,26745136.34,21507710.26,13526861.57,simgrid,iter-0
31,LowerReek,2,0,0,0,0,simgrid,iter-0
27,UpperReek,1,281010673.49,41256178.53,30176547.91,18978960.63,simgrid,iter-0
27,UpperReek,2,0,0,0,0,simgrid,iter-0
27,MidReek,1,217141274.51,36054998.03,27553705.42,17329374.19,simgrid,iter-0
27,MidReek,2,0,0,0,0,simgrid,iter-0
27,LowerReek,1,127906626.86,24538565.68,19286568.17,12129916.88,simgrid,iter-0
27,LowerReek,2,0,0,0,0,simgrid,iter-0
12,UpperReek,1,241341940.98,34908565.42,24165678.77,15198539.86,simgrid,iter-0
12,UpperReek,2,0,0,0,0,simgrid,iter-0
12,MidReek,1,175870731.95,29690031.86,21893169.03,13769288.46,simgrid,iter-0
12,MidReek,2,0,0,0,0,simgrid,iter-0
12,LowerReek,1,97811697.25,18717126.1,14485813.28,9110574.24,simgrid,iter-0
12,LowerReek,2,0,0,0,0,simgrid,iter-0
28,UpperReek,1,281010673.49,46263774.34,34675870.55,21808723.23,simgrid,iter-0
28,UpperReek,2,0,0,0,0,simgrid,iter-0
28,MidReek,1,217141274.51,35798390.18,25299682.06,15911749.49,simgrid,iter-0
28,MidReek,2,0,0,0,0,simgrid,iter-0
28,LowerReek,1,127906626.86,22602707.84,17063643.59,10731851.13,simgrid,iter-0
28,LowerReek,2,0,0,0,0,simgrid,iter-0
1,UpperReek,1,281010673.49,49265968.2,38214565.81,24034317.72,simgrid,iter-0
1,UpperReek,2,0,0,0,0,simgrid,iter-0
1,MidReek,1,217141274.51,41936685.94,33485012.04,21059755.67,simgrid,iter-0
1,MidReek,2,0,0,0,0,simgrid,iter-0
1,LowerReek,1,127906626.86,26745136.34,21507710.26,13526861.57,simgrid,iter-0
1,LowerReek,2,0,0,0,0,simgrid,iter-0
26,UpperReek,1,281010673.49,49265968.2,38214565.81,24034317.72,simgrid,iter-0
26,UpperReek,2,0,0,0,0,simgrid,iter-0
26,MidReek,1,217141274.51,41936685.94,33485012.04,21059755.67,simgrid,iter-0
26,MidReek,2,0,0,0,0,simgrid,iter-0
26,LowerReek,1,127906626.86,26745136.34,21507710.26,13526861.57,simgrid,iter-0
26,LowerReek,2,0,0,0,0,simgrid,iter-0
29,UpperReek,1,281010673.49,37976249.22,24958585.3,15697223.19,simgrid,iter-0
29,UpperReek,2,0,0,0,0,simgrid,iter-0
29,MidReek,1,217141274.51,32278945.22,21672793.03,13630687.23,simgrid,iter-0
29,MidReek,2,0,0,0,0,simgrid,iter-0
29,LowerReek,1,127906626.86,20101033.77,14130822.46,8887309.56,simgrid,iter-0
29,LowerReek,2,0,0,0,0,simgrid,iter-0
21,UpperReek,1,281010673.49,49265968.2,38214565.81,24034317.72,simgrid,iter-0
21,UpperReek,2,0,0,0,0,simgrid,iter-0
21,MidReek,1,217141274.51,41936685.94,33485012.04,21059755.67,simgrid,iter-0
21,MidReek,2,0,0,0,0,simgrid,iter-0
21,LowerReek,1,127906626.86,26745136.34,21507710.26,13526861.57,simgrid,iter-0
21,LowerReek,2,0,0,0,0,simgrid,iter-0
11,UpperReek,1,241341940.98,42452627.21,31940804.39,20088555.88,simgrid,iter-0
11,UpperReek,2,0,0,0,0,simgrid,iter-0
11,MidReek,1,175870731.95,33570998.06,25525869.92,16054005.96,simgrid,iter-0
11,MidReek,2,0,0,0,0,simgrid,iter-0
11,LowerReek,1,97811697.25,20736633.66,16580425.65,10427940.48,simgrid,iter-0
11,LowerReek,2,0,0,0,0,simgrid,iter-0
2,UpperReek,1,281010673.49,41256178.53,30176547.91,18978960.63,simgrid,iter-0
2,UpperReek,2,0,0,0,0,simgrid,iter-0
2,MidReek,1,217141274.51,36054998.03,27553705.42,17329374.19,simgrid,iter-0
2,MidReek,2,0,0,0,0,simgrid,iter-0
2,LowerReek,1,127906626.86,24538565.68,19286568.17,12129916.88,simgrid,iter-0
2,LowerReek,2,0,0,0,0,simgrid,iter-0
13,UpperReek,1,241341940.98,40346331.16,29179155.74,18351669.98,simgrid,iter-0
13,UpperReek,2,0,0,0,0,simgrid,iter-0
13,MidReek,1,175870731.95,29547819.71,20174847.76,12688583.28,simgrid,iter-0
13,MidReek,2,0,0,0,0,simgrid,iter-0
13,LowerReek,1,97811697.25,18032789.54,13763590.32,8656345.97,simgrid,iter-0
13,LowerReek,2,0,0,0,0,simgrid,iter-0
9,UpperReek,1,298484642.31,39941046.09,26415761.6,16613686.26,simgrid,iter-0
9,UpperReek,2,0,0,0,0,simgrid,iter-0
9,MidReek,1,228590822.64,34112905.23,23316111.75,14664220.98,simgrid,iter-0
9,MidReek,2,0,0,0,0,simgrid,iter-0
9,LowerReek,1,136423880.56,21358447.24,15468993.61,9728926.64,simgrid,iter-0
9,LowerReek,2,0,0,0,0,simgrid,iter-0
19,UpperReek,1,281010673.49,37976249.22,24958585.3,15697223.19,simgrid,iter-0
19,UpperReek,2,0,0,0,0,simgrid,iter-0
19,MidReek,1,217141274.51,32278945.22,21672793.03,13630687.23,simgrid,iter-0
19,MidReek,2,0,0,0,0,simgrid,iter-0
19,LowerReek,1,127906626.86,20101033.77,14130822.46,8887309.56,simgrid,iter-0
19,LowerReek,2,0,0,0,0,simgrid,iter-0
7,UpperReek,1,298484642.31,43676871.04,32019006.19,20137739.41,simgrid,iter-0
7,UpperReek,2,0,0,0,0,simgrid,iter-0
7,MidReek,1,228590822.64,37881430.6,29257715.08,18401078.36,simgrid,iter-0
7,MidReek,2,0,0,0,0,simgrid,iter-0
7,LowerReek,1,136423880.56,26077364.94,20982988.85,13196848.1,simgrid,iter-0
7,LowerReek,2,0,0,0,0,simgrid,iter-0
10,UpperReek,1,241341940.98,39103495.61,28395025.29,17858506.18,simgrid,iter-0
10,UpperReek,2,0,0,0,0,simgrid,iter-0
10,MidReek,1,175870731.95,33587100.78,25220888.21,15862193.59,simgrid,iter-0
10,MidReek,2,0,0,0,0,simgrid,iter-0
10,LowerReek,1,97811697.25,20634636.81,16476945.56,10362858.68,simgrid,iter-0
10,LowerReek,2,0,0,0,0,simgrid,iter-0
4,UpperReek,1,281010673.49,37976249.22,24958585.3,15697223.19,simgrid,iter-0
4,UpperReek,2,0,0,0,0,simgrid,iter-0
4,MidReek,1,217141274.51,32278945.22,21672793.03,13630687.23,simgrid,iter-0
4,MidReek,2,0,0,0,0,simgrid,iter-0
4,LowerReek,1,127906626.86,20101033.77,14130822.46,8887309.56,simgrid,iter-0
4,LowerReek,2,0,0,0,0,simgrid,iter-0
6,UpperReek,1,298484642.31,52175980.47,40411774.24,25416209.79,simgrid,iter-0
6,UpperReek,2,0,0,0,0,simgrid,iter-0
6,MidReek,1,228590822.64,44105739.19,35561336.88,22365620.34,simgrid,iter-0
6,MidReek,2,0,0,0,0,simgrid,iter-0
6,LowerReek,1,136423880.56,28433620.95,23246346.66,14620343.57,simgrid,iter-0
6,LowerReek,2,0,0,0,0,simgrid,iter-0
37,UpperReek,1,282166798.86,40101335.31,28642265.56,18014003.2,simgrid,iter-0
37,UpperReek,2,0,0,0,0,simgrid,iter-0
37,MidReek,1,234405520.51,39343771.42,29453895.64,18524462.36,simgrid,iter-0
37,MidReek,2,0,0,0,0,simgrid,iter-0
37,LowerReek,1,128106058.07,23798554.76,18475784.68,11619990.17,simgrid,iter-0
37,LowerReek,2,0,0,0,0,simgrid,iter-0
15,UpperReek,1,281010673.49,44959125.89,33344123.22,20971146.33,simgrid,iter-0
15,UpperReek,2,0,0,0,0,simgrid,iter-0
15,MidReek,1,217141274.51,41208358.33,32166203.88,20230316.57,simgrid,iter-0
15,MidReek,2,0,0,0,0,simgrid,iter-0
15,LowerReek,1,127906626.86,26686687.17,21562168.75,13561112.2,simgrid,iter-0
15,LowerReek,2,0,0,0,0,simgrid,iter-0
25,UpperReek,1,281010673.49,44959125.89,33344123.22,20971146.33,simgrid,iter-0
25,UpperReek,2,0,0,0,0,simgrid,iter-0
25,MidReek,1,217141274.51,41208358.33,32166203.88,20230316.57,simgrid,iter-0
25,MidReek,2,0,0,0,0,simgrid,iter-0
25,LowerReek,1,127906626.86,26686687.17,21562168.75,13561112.2,simgrid,iter-0
25,LowerReek,2,0,0,0,0,simgrid,iter-0
30,UpperReek,1,281010673.49,44959125.89,33344123.22,20971146.33,simgrid,iter-0
30,UpperReek,2,0,0,0,0,simgrid,iter-0
30,MidReek,1,217141274.51,41208358.33,32166203.88,20230316.57,simgrid,iter-0
30,MidReek,2,0,0,0,0,simgrid,iter-0
30,LowerReek,1,127906626.86,26686687.17,21562168.75,13561112.2,simgrid,iter-0
30,LowerReek,2,0,0,0,0,simgrid,iter-0
0,UpperReek,1,281010673.49,44959125.89,33344123.22,20971146.33,simgrid,iter-0
0,UpperReek,2,0,0,0,0,simgrid,iter-0
0,MidReek,1,217141274.51,41208358.33,32166203.88,20230316.57,simgrid,iter-0
0,MidReek,2,0,0,0,0,simgrid,iter-0
