ENSEMBLE,DATE,REAL,FGIP,FGPR,FGPRH,FGPT,FGPTH,FOIP,FOPR,FOPRH,FOPT,FOPTF,FOPTH,FOPTS,FWIP,FWPT,FWPTH,YEARS
iter-0,2000-01-01,37,8864730112,0,0,0,0,48177880,0,0,0,0,0,0,330245568,0,0,0
iter-0,2000-02-01,37,8864728064,0,0,0,0,48177868,0,0,0,0,0,0,330245568,0,0,0.084873370826244
iter-0,2000-03-01,37,8803148800,2123452.75,2123621.5,61580124,61585024,47843188,11540.5048828125,11540,334674.59375,334674.59375,334660,0,330385568,0.76663726568222,0,0.164271041750908
iter-0,2000-04-01,37,8744096768,1904794.25,1887736.75,120630720,120104864,47522252,10352.142578125,10257.2578125,655601.75,655601.75,652635,0,330540576,6.92849636077881,4548.0009765625,0.249144420027733
iter-0,2000-05-01,37,8690721792,1778770.125,1695579.625,174004144,170972256,47232176,9667.228515625,9213.5673828125,945674.6875,945674.6875,929042,0,330690496,69.0000457763672,25817.001953125,0.331279933452606
iter-0,2000-06-01,37,8637008896,1731477.25,1638625.75,227717328,221769648,46940256,9410.2021484375,8903.451171875,1237594.125,1237594.125,1205049,0,330845152,433.579925537109,50901,0.416153311729431
iter-0,2000-07-01,37,8588910080,1600784.75,1509394.625,275816320,267051488,46678848,8699.9169921875,8201.7001953125,1499001.75,1499001.75,1451100,0,331138976,1596.94812011719,75951,0.498288840055466
iter-0,2000-08-01,37,8542505984,1492147.125,1398302.75,322220704,310398880,46426648,8109.4951171875,7597.41943359375,1751199.5,1751199.5,1686620,0,331445728,4844.70458984375,105138,0.583162188529968
iter-0,2000-09-01,37,8498400256,1417761.25,1325874.25,366325984,351500960,46186948,7705.2236328125,7203.8388671875,1990902.125,1990902.125,1909939,0,331749568,10998.0537109375,136780.015625,0.668035566806793
iter-0,2000-10-01,37,8457446912,1361034.625,1270949.375,407279520,389629472,45964372,7396.9267578125,6905.7666015625,2213475.5,2213475.5,2117112,0,332041120,19446.1328125,169202,0.75017112493515
iter-0,2000-11-01,37,8416568320,1314662.5,1227013,448158304,427666848,45742204,7144.90478515625,6666.935546875,2435643,2435643,2323787,0,332340192,30368.072265625,204244,0.835044503211975
iter-0,2000-12-01,37,8378137600,1277588.25,1191768.75,486588704,463419936,45533344,6943.41455078125,6475.7666015625,2644503.75,2644503.75,2518060,0,332627648,42918.96484375,239515,0.917180001735687
iter-0,2001-01-01,37,8339353600,1248514.375,1163525.625,525372832,499489216,45322560,6785.404296875,6321.87109375,2855287.25,2855287.25,2714038,0,332923040,57536.734375,277189,1.00205338001251
iter-0,2001-02-01,37,8278652416,1956528.375,1873729,586073856,557574848,44992664,10633.306640625,10180.322265625,3185184,3185184,3029628,0,333218080,72488.546875,314403,1.08692681789398
